state,county,House Price 2012,House Price 2013,House Price 2014,House Price 2015,House Price 2016,House Price 2017,House Price 2018,House Price 2019,House Price 2020,House Price 2021,House Price 2022,House Price 2023,House Price 2024,House Price 2025,Gender_2012,Gender_2013,Gender_2014,Gender_2015,Gender_2016,Gender_2017,Gender_2018,Gender_2019,Gender_2020,Gender_2021,Gender_2022,Gender_2023,Gender_2024,Gender_2025,Gender,2012_Ratio,2013_Ratio,2014_Ratio,2015_Ratio,2016_Ratio,2017_Ratio,2018_Ratio,2019_Ratio,2020_Ratio,2021_Ratio,2022_Ratio,2023_Ratio,2024_Ratio,2025_Ratio,Gender_2012_diff,Gender_2013_diff,Gender_2014_diff,Gender_2015_diff,Gender_2016_diff,Gender_2017_diff,Gender_2018_diff,Gender_2019_diff,Gender_2020_diff,Gender_2021_diff,Gender_2022_diff,Gender_2023_diff,Gender_2024_diff,Gender_2025_diff
FL,Okaloosa County,154700,275123,159717,230310,186943,185818,289289,224287,266677,335909,332880,392299.7825,409533.2896,435350.8537,32748,33064,33832,34474,35130,35798,36713,37788,45003,45892,46782,47672,48562,49452,male,4.723952608,8.320923058,4.720885552,6.680686894,5.321463137,5.190736913,7.87974287,5.935402773,5.925760505,7.319554606,7.115557266,8.229144624,8.433204761,8.803503472,0.313209967,0.309127752,0.317687397,0.325346638,0.325049815,0.30557573,0.292593904,0.298983804,0.370819723,0.371066853,0.371318028,0.371559825,0.37179276,0.37201731
FL,Okaloosa County,154700,275123,159717,230310,186943,185818,289289,224287,266677,335909,332880,392299.7825,409533.2896,435350.8537,22491,22843,23084,23258,23711,24859,25971,26490,28315,28863,29411,29959,30507,31055,female,6.878306878,12.04408353,6.918948189,9.902399174,7.884230948,7.474878314,11.13892418,8.466855417,9.418223556,11.63804871,11.31821427,13.09455531,13.42424,14.01870403,0.313209967,0.309127752,0.317687397,0.325346638,0.325049815,0.30557573,0.292593904,0.298983804,0.370819723,0.371066853,0.371318028,0.371559825,0.37179276,0.37201731
TX,Henderson County,107105,177597,122647,180431,205505,120859,207679,227825,268157,249228,311882,319293.0409,327047.1291,350027.6749,24705,24967,24927,25882,25411,26356,27732,28449,33708,34391,35074,35757,36440,37123,total,4.335357215,7.113269516,4.920247122,6.97129279,8.087245681,4.585635149,7.488785519,8.008190095,7.955292512,7.24689599,8.892113817,8.929525433,8.974948658,9.428862832,0.346096321,0.314119642,0.245154343,0.27832154,0.277761099,0.285199717,0.304911984,0.328791289,0.509539341,0.511835033,0.514027754,0.516144058,0.518187872,0.520162858
TX,Henderson County,107105,177597,122647,180431,205505,120859,207679,227825,268157,249228,311882,319293.0409,327047.1291,350027.6749,30087,28903,27860,30242,29979,31094,31983,32878,44762,45585,46408,47231,48054,48877,male,3.559843122,6.144587067,4.402261307,5.966239005,6.854965142,3.886891362,6.493418379,6.929405682,5.990728743,5.467324778,6.720436132,6.76024308,6.805825303,7.161398509,0.346096321,0.314119642,0.245154343,0.27832154,0.277761099,0.285199717,0.304911984,0.328791289,0.509539341,0.511835033,0.514027754,0.516144058,0.518187872,0.520162858
TX,Henderson County,107105,177597,122647,180431,205505,120859,207679,227825,268157,249228,311882,319293.0409,327047.1291,350027.6749,19674,19824,21030,21825,21652,22226,22231,22068,21954,22253,22553,22853,23153,23453,female,5.443986988,8.958686441,5.832001902,8.267170676,9.491271014,5.437730586,9.341864963,10.32377198,12.21449394,11.19974835,13.8288476,13.97160289,14.12547528,14.92464396,0.346096321,0.314119642,0.245154343,0.27832154,0.277761099,0.285199717,0.304911984,0.328791289,0.509539341,0.511835033,0.514027754,0.516144058,0.518187872,0.520162858
NY,Kings County,507372,507372,507372,507372,1033929,811730,763744,957618,797060,693875,994408,990337.3809,1038920.809,997691.1896,31962,32186,32743,32486,33846,35478,37123,39855,31134,31631,32129,32627,33125,33623,total,15.87422564,15.76374821,15.49558684,15.61817398,30.54804113,22.87981284,20.57333728,24.02754987,25.60095073,21.93654959,30.95048087,30.35330802,31.36364706,29.67287837,0.091193946,0.096349981,0.104477612,0.122961458,0.136033543,0.147183173,0.148914168,0.146028856,0.282011605,0.291870821,0.301337154,0.310407616,0.319173364,0.32759225
NY,Kings County,507372,507372,507372,507372,1033929,811730,763744,957618,797060,693875,994408,990337.3809,1038920.809,997691.1896,33829,34219,34907,35442,36491,37844,40614,42834,36190,36941,37692,38443,39195,39946,male,14.99813769,14.82720126,14.53496433,14.31555781,28.33380834,21.4493711,18.80494411,22.35649251,22.02431611,18.78333018,26.38246843,25.7611888,26.50646279,24.97599734,0.091193946,0.096349981,0.104477612,0.122961458,0.136033543,0.147183173,0.148914168,0.146028856,0.282011605,0.291870821,0.301337154,0.310407616,0.319173364,0.32759225
NY,Kings County,507372,507372,507372,507372,1033929,811730,763744,957618,797060,693875,994408,990337.3809,1038920.809,997691.1896,30744,30922,31260,31084,31527,32274,34566,36579,25984,26159,26334,26510,26685,26860,female,16.50312256,16.40812367,16.23071017,16.3226097,32.79503283,25.1512053,22.0952381,26.17944722,30.67503079,26.52528766,37.76137313,37.35712489,38.93276406,37.14412471,0.091193946,0.096349981,0.104477612,0.122961458,0.136033543,0.147183173,0.148914168,0.146028856,0.282011605,0.291870821,0.301337154,0.310407616,0.319173364,0.32759225
TX,Calhoun County,113680,170500,186200,140014,140014,124500,254686,56500,206528,197760,497000,259834.6344,259834.6344,259834.6344,26242,27427,28606,30090,30850,32012,31759,32265,30995,31689,32383,33078,33772,34466,total,4.331986891,6.216501987,6.50912396,4.653173812,4.538541329,3.889166563,8.019333102,1.751123508,6.663268269,6.24065133,15.3475589,7.85520994,7.693788772,7.538868288,0.374427021,0.393250649,0.409202167,0.480835565,0.50294658,0.538470301,0.484813278,0.507949505,0.277100888,0.281381448,0.285448916,0.289301253,0.292937031,0.296407856
TX,Calhoun County,113680,170500,186200,140014,140014,124500,254686,56500,206528,197760,497000,259834.6344,259834.6344,259834.6344,33160,34670,36361,41457,41913,43891,42175,43965,35128,36136,37145,38154,39162,40171,male,3.428226779,4.917796366,5.120871263,3.377330728,3.340586453,2.836572418,6.038790753,1.285113158,5.879298565,5.472658844,13.37999731,6.81015449,6.634866309,6.468214244,0.374427021,0.393250649,0.409202167,0.480835565,0.50294658,0.538470301,0.484813278,0.507949505,0.277100888,0.281381448,0.285448916,0.289301253,0.292937031,0.296407856
